name,description,stars,forks,language,url,readme_snippet,account
nextcloud-aio,📦 The official Nextcloud installation method. Provides easy deployment and maintenance with most features included in this one Nextcloud instance.,0,0,PHP,https://github.com/bolsel/nextcloud-aio,"# Nextcloud All-in-One
The official Nextcloud installation method. Nextcloud AIO provides easy deployment and maintenance with most features included ",bolsel
php,No description,0,0,Dockerfile,https://github.com/bolsel/php,"# php

## api-platform
",bolsel
pinahangi-app,No description,0,0,PHP,https://github.com/bolsel/pinahangi-app,"# pinahangi-app

[![Build](https://github.com/bolsel/pinahangi-app/actions/workflows/staging.yml/badge.svg)](https://github.com/bolsel/pinahangi-app/a",bolsel
portal-web-frontend,No description,0,0,TypeScript,https://github.com/bolsel/portal-web-frontend,"# PortalWeb nx Project
",bolsel
portalweb,No description,0,0,TypeScript,https://github.com/bolsel/portalweb,"# portalweb

[![Build](https://github.com/bolsel/portalweb/actions/workflows/staging.yml/badge.svg)](https://github.com/bolsel/portalweb/actions/workf",bolsel
portalweb-backend,No description,0,0,JavaScript,https://github.com/bolsel/portalweb-backend,"# portalweb backend
",bolsel
rich-markdown-editor,The open source React and Prosemirror based markdown editor that powers Outline. Want to try it out? Create an account:,0,0,None specified,https://github.com/bolsel/rich-markdown-editor,[![npm version](https://badge.fury.io/js/rich-markdown-editor.svg)](https://badge.fury.io/js/rich-markdown-editor) [![CircleCI](https://img.shields.io,bolsel
strapi-plugin-rich-markdown,No description,0,0,JavaScript,https://github.com/bolsel/strapi-plugin-rich-markdown,"# Strapi plugin rich-markdown
",bolsel
asc_rag_chatbot,No description,0,0,HTML,https://github.com/RoyalBoroughKingston/asc_rag_chatbot,"# asc_rag_chatbot

The deployed app is available here: https://ascragbot-fnbmsd9sdtaqc77x75r7zi.streamlit.app/

## How the app works

This chatbot is ",RoyalBoroughKingston
aws-test-app,Testing CI/CD Pipelines with environments,0,0,C#,https://github.com/RoyalBoroughKingston/aws-test-app,README not available,RoyalBoroughKingston
ci-cd-demo,No description,0,0,C#,https://github.com/RoyalBoroughKingston/ci-cd-demo,README not available,RoyalBoroughKingston
ck-admin-v2,No description,0,0,Vue,https://github.com/RoyalBoroughKingston/ck-admin-v2,"# Connected Kingston - Backend
This is a [Vue.js](https://vuejs.org/) SPA (Single Page App) using [Vue Router](https://router.vuejs.org) for the routi",RoyalBoroughKingston
ck-api,Connected Kingston API,3,0,PHP,https://github.com/RoyalBoroughKingston/ck-api,"# Connected Kingston

A scheme run by RBK to help residents take control of their own health 
by connecting them with services and events in their loc",RoyalBoroughKingston
ck-api-v2,No description,0,0,PHP,https://github.com/RoyalBoroughKingston/ck-api-v2,"# Connected Places

## Getting Started

These instructions will get you a copy of the project up and running on
your local machine for development and",RoyalBoroughKingston
ck-backend,Connected Kingston Backend Web App,3,0,Vue,https://github.com/RoyalBoroughKingston/ck-backend,"# Connected Kingston - Backend
This is a [Vue.js](https://vuejs.org/) SPA (Single Page App) using [Vue Router](https://router.vuejs.org) for the routi",RoyalBoroughKingston
ck-component-library,No description,0,0,HTML,https://github.com/RoyalBoroughKingston/ck-component-library,"# Ayup frontend boilerplate

This is going to be used as a base for front end projects. In this boilerplate it includes SASS with the SCSS syntax, a a",RoyalBoroughKingston
ck-frontend,No description,2,0,CSS,https://github.com/RoyalBoroughKingston/ck-frontend,"# Connected Kingston - Frontend

The frontend website component to the [API](https://github.com/RoyalBoroughKingston/ck-api).

## Getting started

The",RoyalBoroughKingston
ck-scripts,Connected Kingston infrastructure and deployment scripts,0,0,Shell,https://github.com/RoyalBoroughKingston/ck-scripts,"# Connected Kingston Scripts
",RoyalBoroughKingston
ck-web-app,No description,0,0,TypeScript,https://github.com/RoyalBoroughKingston/ck-web-app,"# Connected Kingston - Frontend

The frontend website component to the [API](https://github.com/RoyalBoroughKingston/ck-api).

## Getting started

The",RoyalBoroughKingston
connectedkingston,Info website for the team building Connected Kingston,0,0,HTML,https://github.com/RoyalBoroughKingston/connectedkingston,"# Connected Kingston

Coming soon.

Trello board - https://trello.com/b/YLvR0Nmz/connected-kingston
",RoyalBoroughKingston
early-intervention-prototype,No description,1,0,HTML,https://github.com/RoyalBoroughKingston/early-intervention-prototype,# early-intervention-prototype,RoyalBoroughKingston
granicus-dash-styles,No description,0,0,CSS,https://github.com/RoyalBoroughKingston/granicus-dash-styles,"# granicus-styles

CSS for Granicus site
",RoyalBoroughKingston
granicus-styles,CSS for Granicus site,0,0,CSS,https://github.com/RoyalBoroughKingston/granicus-styles,"# granicus-styles
CSS for Granicus site
",RoyalBoroughKingston
intranet_bot,No description,0,0,Python,https://github.com/RoyalBoroughKingston/intranet_bot,"# intranet_chatbot

The deployed app is available here: https://intranetchatbot-gqljoc98v6yaqyhlexwqpe.streamlit.app/

## How the app works

This is a",RoyalBoroughKingston
rbk_prototype_kit,GOV.UK Prototype Kit with RBK branding,1,1,JavaScript,https://github.com/RoyalBoroughKingston/rbk_prototype_kit,"# RBK Prototype kit · [![Greenkeeper badge](https://badges.greenkeeper.io/RoyalBoroughKingston/rbk_prototype_kit.svg)](https://greenkeeper.io/)

Go to",RoyalBoroughKingston
service-toolkit,No description,1,0,None specified,https://github.com/RoyalBoroughKingston/service-toolkit,README not available,RoyalBoroughKingston
smart-answers,Serves smart answers on GOV.UK,0,0,Ruby,https://github.com/RoyalBoroughKingston/smart-answers,"# Smart Answers

> Smart answers are a great tool for content designers to present complex information in a quick and simple way. Defining what they a",RoyalBoroughKingston
verify-local-patterns,A fork of the GOV.UK Verify Local patterns,0,0,CSS,https://github.com/RoyalBoroughKingston/verify-local-patterns,"# Verify Local Patterns

## About this project

This project includes two things:

  - Pattern guidance: This is content that will be included in the ",RoyalBoroughKingston
gatsby-deploy-mainsite,No description,0,0,HTML,https://github.com/Isle-of-Man-Government/gatsby-deploy-mainsite,README not available,Isle-Of-Man-Government
gatsby-deploy-subsitea,No description,0,0,HTML,https://github.com/Isle-of-Man-Government/gatsby-deploy-subsitea,README not available,Isle-Of-Man-Government
howsmyssl,The web app running howsmyssl.com,0,0,Go,https://github.com/Isle-of-Man-Government/howsmyssl,"howsmyssl
=========

howsmyssl is the web app behind [https://howsmyssl.com](https://howsmyssl.com).

Orientation
--------
This is a Go project.

The ",Isle-Of-Man-Government
IOMG.Umbraco.StandaloneServices,Library to enable access to Umbraco Services outside of Umbraco,6,1,C#,https://github.com/Isle-of-Man-Government/IOMG.Umbraco.StandaloneServices,"IOMG.Umbraco.StandaloneServices
===============================

This simple package enables access to Umbraco's Services from outside of Umbraco.

We",Isle-Of-Man-Government
jumps.umbraco.usync,Syncing tool for umbraco to read and write the database elements to disk,0,0,C#,https://github.com/Isle-of-Man-Government/jumps.umbraco.usync,"jumps.umbraco.usync
===================

Syncing tool for umbraco to read and write the database elements to disk.

Objective
---------
The aim of uSy",Isle-Of-Man-Government
NUnit-Project-Generator,No description,0,0,C#,https://github.com/Isle-of-Man-Government/NUnit-Project-Generator,"NUnit Project Generator
=======================

This is a simple CLI for generating an NUnit project file.

The project generator will look through a",Isle-Of-Man-Government
os-form-protoType,"mock up of MERA form using React, Material-UI and data-driven-forms",0,0,JavaScript,https://github.com/Isle-of-Man-Government/os-form-protoType,"This project was bootstrapped with [Create React App](https://github.com/facebook/create-react-app).

## Available Scripts

In the project directory, ",Isle-Of-Man-Government
specolada,Tool for collecting specifications from clients,0,0,TypeScript,https://github.com/Isle-of-Man-Government/specolada,"This project was bootstrapped with [Create React App](https://github.com/facebook/create-react-app).

## Available Scripts

In the project directory, ",Isle-Of-Man-Government
ckan,"CKAN is an open-source DMS (data management system) for powering data hubs and data portals. CKAN makes it easy to publish, share and use data. It powers datahub.io, catalog.data.gov and data.gov.uk among many other sites.",0,4,Python,https://github.com/govro/ckan,"CKAN: The Open Source Data Portal Software
==========================================

.. image:: https://img.shields.io/badge/license-AGPL-blue.svg?s",govro
ckan-api-upload-example,No description,0,0,Python,https://github.com/govro/ckan-api-upload-example,"# ckan-api-upload-example

In this example we create a new CKAN dataset and add a resource for it.

## Installation

This example uses the requests li",govro
ckanext-inventory,CKAN extension for receiving dataset inventories from organizations,2,4,Python,https://github.com/govro/ckanext-inventory,"# ckanext-inventory

[![Build Status](https://travis-ci.org/govro/ckanext-inventory.svg?branch=master)](https://travis-ci.org/govro/ckanext-inventory)",govro
ckanext-romania_theme,No description,1,4,HTML,https://github.com/govro/ckanext-romania_theme,"=============
ckanext-romania_theme
=============

.. image:: https://travis-ci.org/govro/ckanext-romania_theme.svg?branch=master
    :target: https:/",govro
datagovro,Open Data Portal,17,4,Shell,https://github.com/govro/datagovro,"# data.gov.ro

[![Build Status](https://travis-ci.org/govro/datagovro.svg?branch=master)](https://travis-ci.org/govro/datagovro)

[data.gov.ro](http:/",govro
dgu-vagrant-puppet,"Container environment for booting fresh DGU virtual machines. Create VMs with Vagrant, configure them with Puppet.",0,0,HTML,https://github.com/govro/dgu-vagrant-puppet,"# Data.gov.uk To Go

This repo provides scripts to install a copy of data.gov.uk's website to your own server. Rebrand it and you have a fully-feature",govro
dgu_d7,Data.gov.uk Drupal 7 project,0,0,PHP,https://github.com/govro/dgu_d7,"dgu_d7
======

Data.gov.uk Drupal 7 project


INSTALLATION
============

To use this drupal distribution, you will need to have a LAMP stack and a wor",govro
example-jsonp,No description,0,0,JavaScript,https://github.com/govro/example-jsonp,"# JSON example for data.gov.ro
",govro
exemplu-api-anpm,Sources used by ANPM for api upload,0,0,Java,https://github.com/govro/exemplu-api-anpm,README not available,govro
government.github.com,"Gather, curate, and feature stories of public servants and civic hackers using GitHub as part of their open government innovations",2,0,CSS,https://github.com/govro/government.github.com,# GitHub and Government [![Build Status](https://travis-ci.org/github/government.github.com.svg?branch=gh-pages)](https://travis-ci.org/github/governm,govro
jackan,Java client to access CKAN repositories ,0,0,Java,https://github.com/govro/jackan,"<p class=""josman-to-strip"">
WARNING: THIS IS ONLY A TEMPLATE FOR THE DOCUMENTATION. <br/>
RELEASE DOCS ARE ON THE <a href=""http://opendatatrentino.git",govro
legislatie-just-python-soap-client,Example API client,3,1,Python,https://github.com/govro/legislatie-just-python-soap-client,"# Exemple de folosire pentru API-ul http://legislatie.just.ro/

API-ul este unul [SOAP](https://en.wikipedia.org/wiki/SOAP). Cele două exemple
au fost",govro
ckan,"CKAN is an open-source DMS (data management system) for powering data hubs and data portals. CKAN makes it easy to publish, share and use data. It powers datahub.io, catalog.data.gov and europeandataportal.eu/data/en/dataset among many other sites.",0,0,Python,https://github.com/sipf/ckan,"CKAN: The Open Source Data Portal Software
==========================================

.. image:: https://img.shields.io/badge/license-AGPL-blue.svg?s",sipf
codespostaux-api,API codes postaux PF (DEPRECATED),1,1,Ruby,https://github.com/sipf/codespostaux-api,"# README

This README would normally document whatever steps are necessary to get the
application up and running.

Things you may want to cover:

* Ru",sipf
codespostaux-ui,UI codes postaux PF,0,0,HTML,https://github.com/sipf/codespostaux-ui,,sipf
config-service,"This project is used for proof of concept only. Of course, you can contribute, you just need to fork and PR your feature. The docker hub links : https://hub.docker.com/r/sipf/config-service",0,0,Shell,https://github.com/sipf/config-service,"## Spring cloud service configuration

This project is used for proof of concept only. Of course, you can contribute, you just need to fork 
and PR yo",sipf
config-service-data,Configuration data for spring cloud config (POC only),0,0,None specified,https://github.com/sipf/config-service-data,"# Spring Configuration data
",sipf
discovery-service,"Discovery for spring cloud discovery service (POC only). Of course, you can contribute, you just need to fork and PR your feature. The docker hub links : https://hub.docker.com/r/sipf/discovery-service",0,0,Shell,https://github.com/sipf/discovery-service,README not available,sipf
documents-api,No description,0,0,Ruby,https://github.com/sipf/documents-api,"# DEV

```bash
$ docker run -d -p 9200:9200 elasticsearch
...
$ git clone https://github.com/sipf/documents-api.git
...
$ cd documents-api
$ rails db:",sipf
mail-api,Just send email with a simple REST API call.,0,0,Shell,https://github.com/sipf/mail-api,"# mail-api
Just send email with a REST API

```
curl -H ""Content-Type: application/json"" -X POST -d '{""from"": ""leonard.tavae@informatique.gov.pf"", ""to",sipf
netpf-k8s,No description,0,0,None specified,https://github.com/sipf/netpf-k8s,"Create the `netpf` namespace

```
kubectl create namespace netpf
```

Deploy zipcode

```
curl -L -s https://github.com/shambarick/netpf-k8s/",sipf
news-ws,API for pushing news. The docker hub link : https://hub.docker.com/r/sipf/news-ws,0,0,Shell,https://github.com/sipf/news-ws,"## News-ws

This project is used for proof of concept only. Of course, you can contribute, you just need to fork 
and PR your feature.

You can access",sipf
organism-ws,API centralize any type of organisms. The docker hub link : https://hub.docker.com/r/sipf/organism-ws,0,0,Java,https://github.com/sipf/organism-ws,"## Organism-ws [![Build Status](https://travis-ci.org/sipf/organism-ws.svg?branch=develop)](https://travis-ci.org/sipf/organism-ws)

[Quality Gate sta",sipf
portal-ui,No description,0,0,None specified,https://github.com/sipf/portal-ui,README not available,sipf
procedure-ws,API centralize any type of procedure. The docker hub link : https://hub.docker.com/r/sipf/procedure-ws,0,0,Shell,https://github.com/sipf/procedure-ws,"## Procedure-ws

This project is used for proof of concept only. Of course, you can contribute, you just need to fork 
and PR your feature.

You can a",sipf
proxy-service,"This project is used for proof of concept only. Of course, you can contribute, you just need to fork and PR your feature. The docker hub links : https://hub.docker.com/r/sipf/proxy-service",0,0,Shell,https://github.com/sipf/proxy-service,"## Spring cloud service proxy

This project is used for proof of concept only. Of course, you can contribute, you just need to fork
and PR your featur",sipf
service-ws,"API centralize any type of web application, API, Mobile app...etc. The docker hub link : https://hub.docker.com/r/sipf/service-ws",1,0,Shell,https://github.com/sipf/service-ws,"## Procedure-ws

This project is used for proof of concept only. Of course, you can contribute, you just need to fork 
and PR your feature.

You can a",sipf
terraform2md,No description,0,0,JavaScript,https://github.com/sipf/terraform2md,"# terraform2md

Generate a .md from a terraform.tfstate

## Installation

For CLI usage

```
npm install -g terraform2md
```

For project usage

```
n",sipf
tps,Dématérialiser et simplifier les démarches administratives ,0,0,Ruby,https://github.com/sipf/tps,"# demarches-simplifiees.fr

## Contexte

[demarches-simplifiees.fr](https://www.demarches-simplifiees.fr) est un site web conçu afin de répondre au be",sipf
zipcode-ws,API for PF zip codes (code postaux). The docker hub link : https://hub.docker.com/r/sipf/zipcode-ws,0,0,Shell,https://github.com/sipf/zipcode-ws,"## Zipcode-ws

This project is used for proof of concept only. Of course, you can contribute, you just need to fork 
and PR your feature.

You can acc",sipf
ansible-apache,No description,0,0,None specified,https://github.com/NLCR/ansible-apache,"Role Name
=========

A brief description of the role goes here.

Requirements
------------

Any pre-requisites that may not be covered by Ansible itse",NLCR
ansible-certbot,Role for using Let's encrypt CA service to generate certs for Apache and Nginx,0,0,ApacheConf,https://github.com/NLCR/ansible-certbot,"Role Name
=========

This is source for future automatization of adding certification authority on the fly.

Requirements
------------

Any pre-requis",NLCR
ansible-common,Simple Ansible role for basic configuration of machines in National Library of the Czech Republic,0,0,None specified,https://github.com/NLCR/ansible-common,"Machine commons
=========

This role is common across machines of National Library of the Czech Republic.  
This role installs few handy apps (git, vi",NLCR
ansible-czidlo,Role to manage Czidlo installation,0,0,None specified,https://github.com/NLCR/ansible-czidlo,"CZIDLO
=========

Work in progress: Transition from legacy into working role

Requirements
------------

Any pre-requisites that may not be covered by",NLCR
ansible-docker,simple playbook to run docker containers,0,0,None specified,https://github.com/NLCR/ansible-docker,"Role Name
=========

A brief description of the role goes here.

Requirements
------------

Any pre-requisites that may not be covered by Ansible itse",NLCR
ansible-elasticsearch,Simple role for elastic search,0,0,None specified,https://github.com/NLCR/ansible-elasticsearch,"Elasticsearch
=========

A brief description of the role goes here.

Requirements
------------

Any pre-requisites that may not be covered by Ansible ",NLCR
ansible-fedora,Fedora 4 installation playbook,0,0,None specified,https://github.com/NLCR/ansible-fedora,"Fedora 4
=========

Simple role to install Fedora 4.

Requirements
------------

Any pre-requisites that may not be covered by Ansible itself or the r",NLCR
ansible-firewall,No description,0,0,None specified,https://github.com/NLCR/ansible-firewall,"Firewall
=========

Sets firewall for machines. It is very simple playbook, is does not define services in /etc/firewalld/services. Maybe later.

Exam",NLCR
ansible-java-oracle,Simple playbook to install Oracle Java,0,0,None specified,https://github.com/NLCR/ansible-java-oracle,"Java Oracle
=========

Simple role to install Oracle Java from url. RPM is downloaded to /tmp and installed with yum.

Role Variables
--------------

",NLCR
ansible-jenkins,Jenkins ,0,0,None specified,https://github.com/NLCR/ansible-jenkins,"Role Name
=========

A brief description of the role goes here.

Requirements
------------

Any pre-requisites that may not be covered by Ansible itse",NLCR
ansible-mariadb,Simple role for MariaDB (MySQL),0,0,None specified,https://github.com/NLCR/ansible-mariadb,"NLCR.mariadb
=========

Empty role will install only MariaDB
defining:
```
mariadb_name: db_name will install your_db with access for vagrant:vagrat
m",NLCR
ansible-nfsv4,NFSv4,0,0,None specified,https://github.com/NLCR/ansible-nfsv4,"Role Name
=========

A brief description of the role goes here.

Requirements
------------

Any pre-requisites that may not be covered by Ansible itse",NLCR
ansible-nginx,Simple nginx playbook,0,0,None specified,https://github.com/NLCR/ansible-nginx,"Nginx
=========

A brief description of the role goes here.

Requirements
------------

Any pre-requisites that may not be covered by Ansible itself o",NLCR
ansible-postgresql,Ansible PostgreSQL role,0,0,None specified,https://github.com/NLCR/ansible-postgresql,"PostgreSQL
=========

A brief description of the role goes here.

Requirements
------------

Any pre-requisites that may not be covered by Ansible its",NLCR
ansible-redis,Simple role for Ansible,0,0,None specified,https://github.com/NLCR/ansible-redis,"Redis
=========

Simple Ansible playbook

Requirements
------------

Any pre-requisites that may not be covered by Ansible itself or the role should b",NLCR
ansible-seeder,Simple role for Seeder,1,0,None specified,https://github.com/NLCR/ansible-seeder,"NLCR.Seeder
=========

Simple role for deploying [Seeder](https://github.com/WebarchivCZ/Seeder) to CentOS server. Quick and dirty, shoudl be bit reth",NLCR
ansible-sentry,Simple role for sentry,1,0,None specified,https://github.com/NLCR/ansible-sentry,"Sentry
=========

Role installs sentry to localhost:9000 and supervisor to localhost:9001

Requirements
------------

PostgreSQL and Redis

```
ansibl",NLCR
ansible-setserv,No description,0,0,HTML,https://github.com/NLCR/ansible-setserv,"Role Name
=========

This is role for installing secured protocol on apache/nginx. A lot work todo, pls firstly commentaries for advancement of the pr",NLCR
ansible-solr,Simple role for SOLR 6,0,0,None specified,https://github.com/NLCR/ansible-solr,"SOLR
=========

Simple for SOLR 6 installation
Based on: https://lucene.apache.org/solr/guide/6_6/taking-solr-to-production.html#taking-solr-to-produc",NLCR
ansible-supervisor,Simple role for Ansible,0,0,None specified,https://github.com/NLCR/ansible-supervisor,"Supervisord
=========

Supervisord role, it opens web interface on 9001

Requirements
------------

Any pre-requisites that may not be covered by Ansi",NLCR
ansible-tower,Simple role for Ansible Tower,0,0,None specified,https://github.com/NLCR/ansible-tower,"Ansible Tower
=========

Simple Ansible Tower role

Requirements
------------

Any pre-requisites that may not be covered by Ansible itself or the rol",NLCR
ansible-users,User and group management,0,0,None specified,https://github.com/NLCR/ansible-users,"Role Name
=========

A brief description of the role goes here.

Requirements
------------

Any pre-requisites that may not be covered by Ansible itse",NLCR
ansible-wakat,Simple role for WA-KAT | Cataloging electronic resources using semi-automatic analysis.,1,0,None specified,https://github.com/NLCR/ansible-wakat,"WA KAT
=========

Get wa-kat from repo, builds docker image a run it.

Repository: https://github.com/webarchivcz/wa-kat
Documentataion: http://wa-kat",NLCR
ansible-zookeeper,Zookeeper Ansible Role,0,0,None specified,https://github.com/NLCR/ansible-zookeeper,"Zookeeper
=========

Initial commit, not fully working

Requirements
------------

Any pre-requisites that may not be covered by Ansible itself or the",NLCR
Centralized_interfaces-FE,No description,0,0,TypeScript,https://github.com/NLCR/Centralized_interfaces-FE,"# Centralized interface

### Run containers

Containers can be run through docker-compose with following command.
There is a docker image built from s",NLCR
CZIDLO,CZech IDentification and LOcalization Tool,5,0,Java,https://github.com/NLCR/CZIDLO,"README file for CZIDLO v5.0

Copyright (C) 2013-2018 Martin Řehánek


#####################################
#####################################
#   ",NLCR
edeposit_machines,Infrastracture for E-deposit,0,0,Python,https://github.com/NLCR/edeposit_machines,"# E-deposit stroje
Infrastruktura pro stroje E-depositu

## Vagrant - Testovací prostředí s Centos/7 a LXC
závislost:  ansible 2.2.0.0

vagrant up nah",NLCR
evidence.periodik,No description,0,1,TypeScript,https://github.com/NLCR/evidence.periodik,"# PerMonik – nástroj pro porovnávání exemplářů regionálních mutací periodik

Realizováno za podpory projektu IN-PROVE : budování INtegrovaného prostře",NLCR
komplexni-validator,Komplexní validátor,8,3,Java,https://github.com/NLCR/komplexni-validator,README not available,NLCR
komplexni-validator-web-backend,No description,0,0,Java,https://github.com/NLCR/komplexni-validator-web-backend,README not available,NLCR
komplexni-validator-web-frontend,No description,0,0,TypeScript,https://github.com/NLCR/komplexni-validator-web-frontend,"# KomplexniValidator

This project was generated with [Angular CLI](https://github.com/angular/angular-cli) version 13.0.2.

## Development server

Ru",NLCR
kramerius,"Testovací prostředí pro Kramiéria, Fedora 4 a SOLR",0,0,Ruby,https://github.com/NLCR/kramerius,"# Kramerius - Fedora 4 + SOLR 6

## Popis aplikace
Téměr defaultní instalace bez fancy features. Instalace: https://github.com/ceskaexpedice/kramerius",NLCR
kramerius-web-client,Novy klient pro Krameria,1,0,TypeScript,https://github.com/NLCR/kramerius-web-client,"# Kramerius - klient pro uživatelské rozhraní
",NLCR
KramVS,Emergency configuration for organisations,3,2,None specified,https://github.com/NLCR/KramVS,"eduID configuration for DNNT
wayf-filter.txt = wayf filter for Shibboleth
conf.d/confextract.conf = environment variables for Shibboleth

ID NDK metad",NLCR
machine_template,No description,0,0,Ruby,https://github.com/NLCR/machine_template,"# Aplikace - Stručný a výstižný podtitul

## Popis aplikace

### Účel aplikace

### Popsání komponent

OS: Centos 7

## Vagrant - lokální testovací/vý",NLCR
ndk-supp,Supportni skupina pro ndk.cz,1,0,None specified,https://github.com/NLCR/ndk-supp,README not available,NLCR
NDK-validator-2012-legacy,Validátor pro NDK,1,0,Java,https://github.com/NLCR/NDK-validator-2012-legacy,"Validátor pro NDK

Použité verze:

Apache Maven 3.2.3 # poslední stabilní verze Java Development Kit 1.7.0 update 71 # poslední stabilní verze řady 7
",NLCR
owncloud_backup,backupper for uploading and managing files in ownCloud,0,0,Python,https://github.com/NLCR/owncloud_backup,"ownCloud backup
===============

This project is used for uploading the backups to the ownCloud and managing old backups.

How it works
------------

",NLCR
Permonik-API,No description,0,1,Java,https://github.com/NLCR/Permonik-API,"# Permonik API

Software vznikl na základě institucionální podpory dlouhodobého koncepčního rozvoje výzkumné organizace poskytované
Ministerstvem kult",NLCR
PerMonik-zpristupnovaci-modul,No description,0,0,TypeScript,https://github.com/NLCR/PerMonik-zpristupnovaci-modul,"# Zpřístupňovací modul

Software vznikl na základě institucionální podpory dlouhodobého koncepčního rozvoje výzkumné organizace poskytované Ministerst",NLCR
registrdigitalizace,Národní knihovna - Registr Digitalizace,4,2,Java,https://github.com/NLCR/registrdigitalizace,"# Registr Digitalizace CZ #
RD je společným projektem Národní knihovny České republiky, Knihovny Akademie věd a společnosti INCAD.

Záměrem výchozího ",NLCR
registrdigitalizace.harvest,Automatically exported from code.google.com/p/registrdigitalizace.harvest,0,0,Java,https://github.com/NLCR/registrdigitalizace.harvest,registrdigitalizace.harvest,NLCR
registrdigitalizace.mvnrepo,Automatically exported from code.google.com/p/registrdigitalizace.mvnrepo,0,0,None specified,https://github.com/NLCR/registrdigitalizace.mvnrepo,registrdigitalizace.mvnrepo,NLCR
registrdigitalizace.search,New Solar GUI - ISSUES,0,1,HTML,https://github.com/NLCR/registrdigitalizace.search,"## Registr digitalizace
New search client
",NLCR
registrdigitalizace.soapclient,Automatically exported from code.google.com/p/registrdigitalizace.soapclient,0,0,Java,https://github.com/NLCR/registrdigitalizace.soapclient,registrdigitalizace.soapclient,NLCR
registrdigitalizace.soapservices,Automatically exported from code.google.com/p/registrdigitalizace.soapservices,0,0,XSLT,https://github.com/NLCR/registrdigitalizace.soapservices,registrdigitalizace.soapservices,NLCR
SeznamDNNT,Registry for Out of Commerce Literary Works,7,1,Java,https://github.com/NLCR/SeznamDNNT,"# Seznam DNNT

Systém SDNNT je připraven ve verzi 1.0 pro zpřístupnění po ukončení testování verze 0.9.  
Zahrnuje funkcionalitu požadovanou NK + zapr",NLCR
