name,description,stars,forks,language,url,readme,account,topic,summary
aia-eia-js,Algorithmic Impact Assessment - Évaluation de l'incidence algorithmique (TS/JS),63,43,Vue,https://github.com/canada-ca/aia-eia-js,"[![Build Status](https://travis-ci.com/canada-ca/aia-eia-js.svg?branch=master)](https://travis-ci.com/canada-ca/aia-eia-js/)

([Français](#gabarit-pou",canada-ca,ai ethics,"The repository provides a tool for conducting Algorithmic Impact Assessments (AIA) using TypeScript and JavaScript. It includes resources and templates designed to evaluate the potential impacts of algorithms, ensuring transparency, fairness, and accountability. The project appears to be maintained by or associated with the Canadian Government, based on its context. It supports both English and French audiences."
sumo,"'Search for Unidentified Maritime Objects' - JRC, owner GREIDANUS Harm (JRC-ISPRA) <Harm.GREIDANUS@ec.europa.eu>",61,18,Java,https://github.com/ec-europa/sumo,"## IMPORTANT: Software not actively maintained and with known security vulnerabilities

# SUMO
SUMO is a Java software package to perform ship detecti",ec-europa,geospatial-ai,"SUMO (Search for Unidentified Maritime Objects) is a Java-based software package designed for ship detection. The repository is not actively maintained and contains known security vulnerabilities. Created by JRC (Joint Research Centre), it aims to support maritime observation and analysis. Users should exercise caution due to its outdated state."
rn-contact-tracing,React Native Library For Contact Tracing Over BLE (Bluetooth Low Energy) To Fight COVID-19 Pandemic,59,16,Java,https://github.com/MohGovIL/rn-contact-tracing,"<p align=""center"">
  <h1 font-weight=bold align=""center"">RN-Contact-Tracing</h1>
</p>


<p align=""center"">
  <a href=""https://www.npmjs.com/package/rn",MohGovIL,public-health-tech,RN-Contact-Tracing is a React Native library designed for contact tracing using Bluetooth Low Energy (BLE) technology to help combat the COVID-19 pandemic. It enables cross-platform integration for tracking interactions between users' devices while maintaining privacy and anonymity. The library is available via npm and serves as a tool for developers to create contact tracing applications efficiently.
atramhasis,An online SKOS editor,59,11,Python,https://github.com/OnroerendErfgoed/atramhasis,"Atramhasis
==========

.. image:: https://img.shields.io/pypi/v/atramhasis.svg
        :target: https://pypi.python.org/pypi/atramhasis
.. image:: htt",onroerenderfgoed,structured-data-editing,"Atramhasis is an online editor for SKOS (Simple Knowledge Organization System) ontologies. It is distributed as a Python package and provides tools for creating, managing, and editing SKOS-based knowledge structures. The project appears to be actively maintained and offers integration with Python environments for streamlined usage."
digital-playbook-guide-numerique,Government of Canada Digital Playbook / Guide numérique du gouvernement du Canada,58,21,HTML,https://github.com/canada-ca/digital-playbook-guide-numerique,"<!-- markdownlint-disable MD041 -->
[Français](#user-content-guide-numérique-du-gouvernement-du-canada-ébauche)
<!-- markdownlint-enable MD041 -->

# ",canada-ca,government-tech,"The GitHub repository contains the Government of Canada Digital Playbook, which serves as a guide for designing and delivering digital services in alignment with principles and best practices. It includes resources, standards, and methodologies to help teams create user-centered, accessible, and secure digital solutions. The playbook promotes innovation, collaboration, and continuous improvement across government services."
HASlib,Galileo High Accuracy Service decoder library,57,17,Python,https://github.com/nlsfi/HASlib,"# HASlib

The Galileo HAS Decoder library is a repository for Python 3, capable of decoding raw Galileo C/Nav pages received by an E6 capable signal r",nlsfi,satellite-data-processing,The Galileo HAS Decoder library (HASlib) is a Python 3-based tool designed to decode raw Galileo C/Nav pages obtained from E6-capable signals. It facilitates the extraction of high-accuracy service (HAS) data provided by Galileo navigation satellites. The library is tailored for applications requiring precise satellite navigation data processing.
calendars,Serves /bank-holidays and /when-do-the-clocks-change on GOV.UK,53,16,Ruby,https://github.com/alphagov/calendars,"**calendars functionality is now provided by frontend.**

## Calendars

Serves calendars in a clear and accessible format, along with JSON and iCal ex",alphagov,government-tech,"This repository provides functionality to serve calendar-related data, specifically endpoints for bank holidays and clock changes, on the GOV.UK platform. It delivers the information in clear and accessible formats, including JSON and iCal exports. Note that the calendar functionality is now handled by the frontend."
cdn-acceptance-tests,CDN Acceptance Tests,50,10,Go,https://github.com/alphagov/cdn-acceptance-tests,"# CDN Acceptance Tests

Acceptance tests for our Content Delivery Network(s).

These are written using Go's [testing][testing] package because it prov",alphagov,automation,This repository contains acceptance tests for verifying the functionality of Content Delivery Networks (CDNs). The tests are implemented using Go's testing package.
cmits,Configuration Management for IT Systems,47,1,Puppet,https://github.com/afseo/cmits,"-----------------------------------------------------------
Configuration Management for Information Technology Systems
----------------------------",afseo,infrastructure-as-code,"This GitHub repository focuses on configuration management for IT systems. It provides tools, scripts, or resources aimed at automating and standardizing system setups and maintenance tasks. The repository likely aids in improving efficiency, consistency, and reliability across IT infrastructures."
oobee-desktop,"Oobee Desktop (formerly Purple A11y) is a customisable, automated web accessibility testing tool that allows software development teams to find and fix accessibility problems to improve persons with disabilities (PWDs) access to digital services.",46,7,HTML,https://github.com/GovTechSG/oobee-desktop,"# Oobee

Oobee (formerly known as Purple A11y) is an accessibility site scanner - a customisable, automated web accessibility testing tool that allows",govtechsg,accessibility-tools,"Oobee (formerly Purple A11y) is a customizable and automated web accessibility testing tool designed to help software development teams identify and resolve accessibility issues on websites. It aims to improve digital access for persons with disabilities (PWDs) by scanning and reporting potential barriers. The tool provides flexibility for teams to tailor their testing processes to meet specific needs, fostering inclusive digital experiences."
ezd-analizy-it,No description,46,22,HTML,https://github.com/Ministerstwo-Cyfryzacji/ezd-analizy-it,"Analizy IT projektu B+R EZD RP
==============================

Niniejsze repozytorium zawiera wybrane analizy IT tworzone w ramach projektu badawczo-r",Ministerstwo-Cyfryzacji,government-tech,"This repository contains selected IT analyses created as part of the R&D project ""EZD RP."" It focuses on research and technical examinations related to the project. Specific details or scope of the analyses are not provided in the README."
architecture,Repository for the storage of architectural modeling ,44,19,JavaScript,https://github.com/canada-ca/architecture,"# Open Government of Canada Architecture Git Repository

The canada-ca/architecture repository is meant for the storage of architecture models for use",canada-ca,government-tech,"This repository, titled ""Open Government of Canada Architecture Git Repository,"" is designed for storing architectural models. It serves as a centralized location for models utilized by the Canadian government. The repository focuses on organizing and housing resources related to architecture for public or governmental reference."
camp-design-system,The Design System used at Open Government Products,42,11,TypeScript,https://github.com/opengovsg/camp-design-system,"# Open Government Products Design System

Exports components which follow the design and accessibility guidelines in the OGP design system.

Read the ",opengovsg,design-systems,The Open Government Products Design System repository provides reusable components adhering to OGP's design and accessibility guidelines. These components ensure consistency and accessibility across applications developed by Open Government Products.
joinup-dev,The Joinup project moved to https://git.fpfis.eu/ec-europa/digit-joinup-reference,41,21,PHP,https://github.com/ec-europa/joinup-dev,"# Joinup website

This is the source code for https://joinup.ec.europa.eu/

[![Build Status](https://status.continuousphp.com/git-hub/ec-europa/joinup",ec-europa,government-tech,"The Joinup repository contains the source code for the Joinup website (https://joinup.ec.europa.eu/), a platform supporting collaboration and sharing of interoperability solutions among public administrations in Europe. The project has been relocated to a new repository at https://git.fpfis.eu/ec-europa/digit-joinup-reference."
platform-dev,NextEuropa platform,41,41,PHP,https://github.com/ec-europa/platform-dev,"# NextEuropa

## Requirements

* Composer 1
* PHP Phar extension
* PhantomJS (in order to run JavaScript during Behat tests)
* PHP 7.3 or higher

## I",ec-europa,infrastructure-as-code,"NextEuropa is a platform requiring PHP 7.3+ with the PHP Phar extension, Composer 1, and PhantomJS for running JavaScript during Behat tests. It appears to be a software project tailored to specific technical environments and testing needs. The documentation is minimal, primarily outlining prerequisite tools and dependencies for operation."
themefinder,A topic modelling Python package for analysing one-to-many question-answer data.,39,5,Python,https://github.com/i-dot-ai/themefinder,"# ThemeFinder

ThemeFinder is a topic modelling Python package designed for analysing one-to-many question-answer data (i.e. survey responses, public ",i-dot-ai,qualitative-data-analysis,"ThemeFinder is a Python package for topic modeling, specifically designed to analyze one-to-many question-answer data, such as survey responses or public feedback. It helps identify recurring themes or topics within textual data for insightful analysis."
ore-ero,Open Resource Exchange - Échange de ressources ouvert,39,35,HTML,https://github.com/canada-ca/ore-ero,"([Français](#échange-de-ressources-ouvert))

# Open Resource Exchange

<https://code.open.canada.ca/en/index.html>

Explore how the Government of Cana",canada-ca,government-tech,"The ""Open Resource Exchange"" is a platform by the Government of Canada aimed at sharing open resources and code to promote transparency, collaboration, and innovation. Its purpose is to provide easily accessible tools, data, and code repositories to facilitate resource sharing among developers and organizations. The repository presumably supports the broader open government initiative in Canada."
open-source-logiciel-libre,Open Source Software Requirements and Guidance (Draft) - Exigences et guides liés aux logiciels libres (Ébauche),38,18,HTML,https://github.com/canada-ca/open-source-logiciel-libre,"([Français](#logiciels-libres))

# Open Source Software

Treasury Board of Canada Secretariat’s **draft** standards to support the implementation of T",canada-ca,government-tech,"This GitHub repository contains draft standards created by the Treasury Board of Canada Secretariat to support the implementation of open-source software within governmental practices. The repository includes requirements and guidance for utilizing open-source tools effectively, aiming to enhance transparency and collaboration. The documentation is currently a work in progress and is available in both English and French."
tracker,Track Government of Canada domains for adherence to digital security best practices and federal requirements.,38,10,JavaScript,https://github.com/canada-ca/tracker,"# Tracker

This project tracks Government of Canada domains for adherence to digital security best practices and federal requirements.

## Application",canada-ca,cybersecurity,"This repository is a tracker designed to monitor Government of Canada domains for compliance with digital security best practices and federal requirements. It allows for the assessment and reporting of domain adherence to these standards, ensuring improved digital security. The application is tailored specifically for federal oversight and audits."
OS-Advisory_Conseil-SO,Open Source Advisory Board - Conseil consultatif du logiciel libre,38,27,JavaScript,https://github.com/canada-ca/OS-Advisory_Conseil-SO,"# OS-Advisory_Conseil-SO

[![Build Status](https://travis-ci.org/canada-ca/OS-Advisory_Conseil-SO.svg?branch=master)](https://travis-ci.org/canada-ca/",canada-ca,government-tech,"The repository ""OS-Advisory_Conseil-SO"" serves as the Open Source Advisory Board for Canada. It is focused on consulting and providing guidance related to open-source software and practices within the Canadian government. The repository includes resources, documentation, and tools to support open-source initiatives and collaboration."
accelerators_accelerateurs-azure,[AZURE] Tools and templates to accelerate GC service delivery. Outils et modèles pour accélérer la prestation de services du GC.,37,14,PowerShell,https://github.com/canada-ca/accelerators_accelerateurs-azure,"([Français](#gc-accelerateurs-azure))

## Azure Landing Zones for Canadian Public Sector

Microsoft Canada has open-sourced Azure Landing Zone for Can",canada-ca,government-tech,"The repository provides tools and templates to accelerate Azure service delivery for the Canadian public sector, specifically targeting Government of Canada (GC) projects. It offers open-source Azure Landing Zones, which are pre-configured environments designed to streamline cloud adoption and ensure best practices. The resources aim to simplify deployment, improve scalability, and ensure compliance with government standards."
cloud-guardrails-O365,Recommended configuration guidance for Microsoft O365 / Conseils de configuration recommandés pour Microsoft O365,36,11,JavaScript,https://github.com/canada-ca/cloud-guardrails-O365,"# GC Cloud Guardrails for O365

([Français](#mesures-de-sécurité-dinformatique-en-nuage-du-gc-pour-o365))

This project will host the minimum guardrai",canada-ca,cybersecurity,This repository provides recommended configuration guidelines and minimum security guardrails for Microsoft Office 365 usage within the Government of Canada (GC). It aims to ensure secure and standardized O365 deployments by outlining key practices and controls. The project focuses on enhancing cloud security and compliance in alignment with GC requirements. Content is available in both English and French.
epitaph_ips,Library for Indoor Positioning purposes,36,8,Dart,https://github.com/it-at-m/epitaph_ips,"# Epitaph

Epitaph has a wide array of utilities to position your user in a building. The project is intended to be used to only calculate the positio",it-at-m,indoor-positioning,Epitaph is a library designed for indoor positioning applications. It provides various utilities to calculate and determine a user's position within a building. The project is specifically focused on precise indoor localization.
toolkit,Toolkit packaged for Drupal projects based on Robo.,35,42,PHP,https://github.com/ec-europa/toolkit,"# Toolkit

The Toolkit is a composer package designed to speed up the development of Drupal websites in Drupal 9+. Its main core is the robo based bui",ec-europa,automation,"The repository provides a Toolkit for Drupal 9+ projects, packaged as a Composer library to streamline and accelerate Drupal development. Its core functionality is built on Robo, a PHP task runner."
doc-AUTENTICACAO,Documentação técnica relativa ao serviço de autenticação do Autenticação.Gov e Chave Móvel Digital,33,7,None specified,https://github.com/amagovpt/doc-AUTENTICACAO,"# Documentação técnica relativa ao serviço de autenticação do Autenticação.Gov<span> e Chave Móvel Digital



## Introdução

O Autenticação.Gov<span> ",amagovpt,government-tech,"This GitHub repository provides technical documentation for the authentication service of Autenticação.Gov and Chave Móvel Digital, which are digital identity solutions used in Portugal. It contains detailed information about the functioning and integration of these services to assist developers in implementing secure authentication mechanisms. The documentation is designed to facilitate usage and improve understanding of the system's technical aspects."
D-Portal,No description,31,23,JavaScript,https://github.com/IATI/D-Portal,"Summary
=======

 Product  | D-portal  
--- | --- 
Description | Search IATI data on development and humanitarian activities on specific events or the",IATI,humanitarian-data,"The repository is for **D-portal**, a tool for searching and exploring IATI (International Aid Transparency Initiative) data on development and humanitarian activities. It focuses on providing information related to specific events or initiatives."
CanFlood,Flood Risk modelling toolbox for Canada,30,7,Python,https://github.com/NRCan/CanFlood,"[![Documentation Status (dev)](https://readthedocs.org/projects/canflood/badge/?version=dev)](https://canflood.readthedocs.io/en/dev/)
[![Documentatio",NRCan,flood-risk-modeling,"The repository provides a flood risk modeling toolbox specifically designed for Canada. It features tools and documentation for analyzing, predicting, and managing flood risks, with resources hosted on ReadTheDocs for further guidance. The project is likely aimed at researchers, policymakers, and engineers working on flood mitigation and environmental planning."
geo_sim_processing,No description,30,6,Python,https://github.com/NRCan/geo_sim_processing,"# geo_sim_processing

geo_sim_processing is a QGIS plugin that aims to simplify/generalize line and polygon features. It is composed of 3 processing t",NRCan,geospatial-ai,geo_sim_processing is a QGIS plugin designed to simplify and generalize line and polygon features for geospatial data processing. It integrates as a processing tool within QGIS to streamline these tasks efficiently.
mucgpt,MUCGPT provides a web interface based for a given large language model (LLM). It includes different modes of interaction and lets users create individual assistant.,30,1,TypeScript,https://github.com/it-at-m/mucgpt,"<!-- PROJECT LOGO -->
<div align=""center"">
  <a href=""#"">
    <img src=""app/frontend/src/assets/mucgpt_black_filled.png"" alt=""Logo"" height=""200"" style",it-at-m,ai agents,MUCGPT is a web-based interface for interacting with large language models (LLMs). It offers multiple interaction modes and enables users to customize and create their own AI assistants. The platform is designed to enhance user experience and adaptability when working with LLMs.
design-system,Canada.ca design system - user-proven patterns and templates. En français : https://github.com/canada-ca/systeme-conception,30,16,HTML,https://github.com/canada-ca/design-system,"# Canada.ca design library - evidence-based patterns &amp; templates

In order to move towards a more flexible design system, the plan is to “decouple",canada-ca,design-systems,The Canada.ca Design System is a flexible and evidence-based library of user-tested patterns and templates designed to enhance the consistency and usability of Canadian government digital services. It aims to support a modern and adaptable design approach by decoupling components for greater flexibility. The repository provides resources to assist developers and designers in creating accessible and user-centered digital experiences. An equivalent French version of the system is also available.
egov-requirements,Изисквания към интеграцията на системи в рамките на електронното управление,29,4,None specified,https://github.com/governmentbg/egov-requirements,"Изисквания към интеграцията, сигурността и качеството на системи в рамките на електронното управление
------------------------------------------------",governmentbg,government-tech,"This GitHub repository outlines the requirements for the integration, security, and quality of systems within the framework of e-Government. It provides guidelines and standards to ensure seamless interoperability, robust security, and high-quality performance in electronic governance systems. The content is intended to facilitate the development and maintenance of compliant and efficient systems in the e-Government ecosystem."
